fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,False,10,0.005,100,100,0.99,3,2,7,1,,40,5.43078,0.10378,0.04
True,False,10,0.005,100,100,0.99,3,2,7,1,,50,4.95204,0.102858,0.03
True,False,10,0.005,100,100,0.99,3,2,7,1,,60,4.60864,0.101408,0.05
True,False,10,0.005,100,100,0.99,3,2,7,1,,70,4.36367,0.100183,0.07
True,False,10,0.005,100,100,0.99,3,2,7,1,,80,4.0978,0.098814,0.1
True,False,10,0.005,100,100,0.99,3,2,7,1,,90,4.04886,0.0999702,0.11
True,False,10,0.005,100,100,0.99,3,2,7,1,,100,3.80647,0.0973237,0.12
True,False,10,0.005,100,100,0.99,3,2,7,1,,110,7.04438,0.102641,0.08
True,False,10,0.005,100,100,0.99,3,2,7,1,,120,4.35944,0.101742,0.07
True,False,10,0.005,100,100,0.99,3,2,7,1,,130,4.34503,0.0989108,0.09
True,False,10,0.005,100,100,0.99,3,2,7,1,,140,3.88921,0.0963108,0.15
True,False,10,0.005,100,100,0.99,3,2,7,1,,150,3.31767,0.0935097,0.19
True,False,10,0.005,100,100,0.99,3,2,7,1,,160,3.46858,0.0929484,0.24
True,False,10,0.005,100,100,0.99,3,2,7,1,,170,3.12403,0.0887317,0.36
True,False,10,0.005,100,100,0.99,3,2,7,1,,180,2.92676,0.0866062,0.36
True,False,10,0.005,100,100,0.99,3,2,7,1,,190,2.66874,0.084458,0.39
True,False,10,0.005,100,100,0.99,3,2,7,1,,200,2.32441,0.0808373,0.49
True,False,10,0.005,100,100,0.99,3,2,7,1,,210,4.15803,0.0980577,0.23
True,False,10,0.005,100,100,0.99,3,2,7,1,,220,3.11294,0.0906559,0.35
True,False,10,0.005,100,100,0.99,3,2,7,1,,230,2.71362,0.0870679,0.36
True,False,10,0.005,100,100,0.99,3,2,7,1,,240,2.19982,0.082713,0.42
True,False,10,0.005,100,100,0.99,3,2,7,1,,250,1.92173,0.0774419,0.49
True,False,10,0.005,100,100,0.99,3,2,7,1,,260,1.78609,0.0767744,0.52
True,False,10,0.005,100,100,0.99,3,2,7,1,,270,1.64101,0.0738469,0.58
True,False,10,0.005,100,100,0.99,3,2,7,1,,280,1.44177,0.070883,0.58
True,False,10,0.005,100,100,0.99,3,2,7,1,,290,1.35399,0.06779,0.62
True,False,10,0.005,100,100,0.99,3,2,7,1,,300,1.21701,0.0666015,0.65
True,False,10,0.005,100,100,0.99,3,2,7,1,,310,3.58909,0.089107,0.31
True,False,10,0.005,100,100,0.99,3,2,7,1,,320,2.72196,0.0826037,0.37
True,False,10,0.005,100,100,0.99,3,2,7,1,,330,2.28471,0.0805555,0.46
True,False,10,0.005,100,100,0.99,3,2,7,1,,340,2.06045,0.0786221,0.44
True,False,10,0.005,100,100,0.99,3,2,7,1,,350,1.86635,0.0767708,0.52
True,False,10,0.005,100,100,0.99,3,2,7,1,,360,1.47483,0.0723898,0.59
True,False,10,0.005,100,100,0.99,3,2,7,1,,370,1.31864,0.0693502,0.62
True,False,10,0.005,100,100,0.99,3,2,7,1,,380,1.03044,0.0618107,0.74
True,False,10,0.005,100,100,0.99,3,2,7,1,,390,1.01862,0.0609175,0.73
True,False,10,0.005,100,100,0.99,3,2,7,1,,400,0.844888,0.0568246,0.74
True,False,10,0.005,100,100,0.99,3,2,7,1,,410,3.07518,0.085231,0.4
True,False,10,0.005,100,100,0.99,3,2,7,1,,420,2.00882,0.0795674,0.49
True,False,10,0.005,100,100,0.99,3,2,7,1,,430,1.59452,0.0717127,0.58
True,False,10,0.005,100,100,0.99,3,2,7,1,,440,1.18222,0.0634871,0.71
True,False,10,0.005,100,100,0.99,3,2,7,1,,450,1.13874,0.0645929,0.69
True,False,10,0.005,100,100,0.99,3,2,7,1,,460,1.01075,0.0629613,0.67
True,False,10,0.005,100,100,0.99,3,2,7,1,,470,0.878525,0.0581905,0.72
True,False,10,0.005,100,100,0.99,3,2,7,1,,480,0.757336,0.0539308,0.76
True,False,10,0.005,100,100,0.99,3,2,7,1,,490,0.733654,0.0548113,0.76
True,False,10,0.005,100,100,0.99,3,2,7,1,,500,0.80686,0.0524316,0.8
True,False,10,0.005,100,100,0.99,3,2,7,1,,510,2.60093,0.0819134,0.47
True,False,10,0.005,100,100,0.99,3,2,7,1,,520,1.79442,0.0717627,0.54
True,False,10,0.005,100,100,0.99,3,2,7,1,,530,1.23886,0.0646462,0.64
True,False,10,0.005,100,100,0.99,3,2,7,1,,540,1.00954,0.0624478,0.68
True,False,10,0.005,100,100,0.99,3,2,7,1,,550,0.884372,0.0583541,0.73
True,False,10,0.005,100,100,0.99,3,2,7,1,,560,0.741756,0.0543212,0.77
True,False,10,0.005,100,100,0.99,3,2,7,1,,570,0.708372,0.0535102,0.79
True,False,10,0.005,100,100,0.99,3,2,7,1,,580,0.680064,0.0535083,0.76
True,False,10,0.005,100,100,0.99,3,2,7,1,,590,0.673708,0.0532425,0.79
True,False,10,0.005,100,100,0.99,3,2,7,1,,600,0.584266,0.0496409,0.81
True,False,10,0.005,100,100,0.99,3,2,7,1,,610,2.25953,0.0778777,0.55
True,False,10,0.005,100,100,0.99,3,2,7,1,,620,1.14961,0.0644291,0.66
True,False,10,0.005,100,100,0.99,3,2,7,1,,630,0.969142,0.0602052,0.73
True,False,10,0.005,100,100,0.99,3,2,7,1,,640,0.702324,0.0530554,0.8
True,False,10,0.005,100,100,0.99,3,2,7,1,,650,0.698322,0.0543415,0.75
True,False,10,0.005,100,100,0.99,3,2,7,1,,660,0.62308,0.0524487,0.8
True,False,10,0.005,100,100,0.99,3,2,7,1,,670,0.638702,0.0512237,0.81
True,False,10,0.005,100,100,0.99,3,2,7,1,,680,0.627843,0.049939,0.8
True,False,10,0.005,100,100,0.99,3,2,7,1,,690,0.498762,0.0470387,0.86
True,False,10,0.005,100,100,0.99,3,2,7,1,,700,0.408172,0.043028,0.84
True,False,10,0.005,100,100,0.99,3,2,7,1,,710,1.61277,0.0702637,0.65
True,False,10,0.005,100,100,0.99,3,2,7,1,,720,0.878533,0.0566825,0.78
True,False,10,0.005,100,100,0.99,3,2,7,1,,730,0.608652,0.0483755,0.85
True,False,10,0.005,100,100,0.99,3,2,7,1,,740,0.465793,0.0438874,0.87
True,False,10,0.005,100,100,0.99,3,2,7,1,,750,0.294053,0.0375194,0.89
True,False,10,0.005,100,100,0.99,3,2,7,1,,760,0.25024,0.0345639,0.92
True,False,10,0.005,100,100,0.99,3,2,7,1,,770,0.207545,0.0318498,0.92
True,False,10,0.005,100,100,0.99,3,2,7,1,,780,0.242539,0.0324204,0.93
True,False,10,0.005,100,100,0.99,3,2,7,1,,790,0.191571,0.0313417,0.92
True,False,10,0.005,100,100,0.99,3,2,7,1,,800,0.203532,0.0313326,0.94
True,False,10,0.005,100,100,0.99,3,2,7,1,,810,1.65332,0.0719733,0.6
