cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1210,10.2016,0.00459997,0.0542453,3.32185,0.00461582,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1220,10.1382,0.00460711,0.0516509,3.31198,0.00461709,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1230,10.1564,0.00461281,0.029717,3.31745,0.00462567,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1240,10.2651,0.00460798,0.0358491,3.30713,0.00461907,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1250,10.365,0.00460417,0.0573113,3.31929,0.0046172,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1260,10.3154,0.00461558,0.053066,3.32141,0.00463109,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1270,10.3468,0.00461301,0.0575472,3.3146,0.00462265,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1280,10.4199,0.00462156,0.0601415,3.34373,0.00463138,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1290,10.4822,0.00460998,0.0353774,3.31614,0.00462179,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1300,10.4263,0.00458279,0.0332547,3.30891,0.00460074,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1310,10.3826,0.00459982,0.0542453,3.31653,0.00461018,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1320,10.2444,0.00459203,0.0521226,3.30536,0.00460406,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1330,10.0968,0.00459328,0.0341981,3.32112,0.00460476,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1340,10.1694,0.00458077,0.0351415,3.31361,0.00458801,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1350,10.3773,0.00458989,0.0341981,3.30218,0.00460719,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1360,10.5443,0.00460435,0.0334906,3.31973,0.0046193,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1370,10.6124,0.00459946,0.0535377,3.30917,0.0046107,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1380,10.7848,0.00462354,0.0558962,3.31895,0.00463664,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1390,10.7769,0.00461593,0.0573113,3.35529,0.00462412,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1400,10.7377,0.00458754,0.0518868,3.30455,0.00460809,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1410,10.6921,0.00457186,0.0563679,3.3393,0.00459127,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1420,10.6285,0.00460003,0.0514151,3.32717,0.00461498,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1430,10.6089,0.00461833,0.0400943,3.3476,0.00462489,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1440,10.662,0.00461275,0.0570755,3.35609,0.00462594,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1450,10.4852,0.00459907,0.0573113,3.31484,0.00461764,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1460,10.4551,0.00460503,0.0337264,3.32077,0.00462467,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1470,10.4643,0.00461678,0.0351415,3.31561,0.00462777,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1480,10.5029,0.00461355,0.0311321,3.32222,0.00462978,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1490,10.4692,0.00461964,0.0311321,3.31484,0.00462601,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1500,10.3425,0.00462496,0.0358491,3.33604,0.00463722,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1510,7.01116,0.00519802,0.0521226,3.30801,0.00513512,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1520,8.88314,0.0050434,0.0278302,3.22724,0.00500295,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1530,9.24836,0.0050104,0.0306604,3.22328,0.00496726,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1540,9.37111,0.00497098,0.0320755,3.20723,0.00493201,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1550,9.5467,0.00495964,0.0292453,3.20043,0.00491469,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1560,9.60086,0.00495065,0.0316038,3.19608,0.00490478,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1570,9.60632,0.00493431,0.0285377,3.19166,0.00489963,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1580,9.63545,0.00493989,0.0311321,3.18618,0.00489867,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1590,9.71848,0.00493971,0.0275943,3.18302,0.00491779,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1600,9.75076,0.00496123,0.028066,3.20365,0.00491153,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1610,9.78408,0.00494591,0.032783,3.20503,0.00491651,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1620,9.78984,0.00495984,0.0304245,3.20788,0.00493136,0.075
