fixed,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,10,0.005,100,500,0.99,3,2,7,1,,650,0.183696,0.029845,0.93
True,10,0.005,100,500,0.99,3,2,7,1,,660,0.0934386,0.0227249,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,670,0.0659161,0.0183551,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,680,0.115936,0.0224892,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,690,0.0659211,0.0185212,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,700,0.125149,0.0271218,0.94
True,10,0.005,100,500,0.99,3,2,7,1,,710,0.203435,0.0273969,0.96
True,10,0.005,100,500,0.99,3,2,7,1,,720,0.121948,0.026006,0.96
True,10,0.005,100,500,0.99,3,2,7,1,,730,0.0573246,0.0166557,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,740,0.0534208,0.0175205,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,750,0.0255535,0.0101912,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,760,0.0656374,0.0207719,0.96
True,10,0.005,100,500,0.99,3,2,7,1,,770,0.0368498,0.0134363,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,780,0.0676738,0.0170734,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,790,0.0512284,0.01647,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,800,0.0367206,0.0136696,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,810,0.0186722,0.00779354,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,820,0.056687,0.0187407,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,830,0.0697495,0.0192637,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,840,0.0227586,0.00797021,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,850,0.0280804,0.0127709,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,860,0.0232097,0.00947282,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,870,0.0191115,0.0084141,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,880,0.0129018,0.00613849,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,890,0.0386986,0.0137588,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,900,0.0210985,0.00894938,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,910,0.0261249,0.011902,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,920,0.0284338,0.0136421,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,930,0.0236532,0.0102471,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,940,0.0311667,0.0128639,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,950,0.0322835,0.0135323,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,960,0.0182016,0.00963064,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,970,0.0218188,0.0114968,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,980,0.021869,0.00867392,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,990,0.0178277,0.00898445,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1000,0.00802499,0.00448576,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1010,2.10919,0.0521452,0.84
True,10,0.005,100,500,0.99,3,2,7,1,,1020,0.988785,0.0563149,0.8
True,10,0.005,100,500,0.99,3,2,7,1,,1030,0.449245,0.0431228,0.92
True,10,0.005,100,500,0.99,3,2,7,1,,1040,0.148816,0.0261675,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,1050,0.151055,0.0277032,0.95
True,10,0.005,100,500,0.99,3,2,7,1,,1060,0.101462,0.0218462,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,1070,0.0937247,0.0207611,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1080,0.114364,0.0235802,0.96
True,10,0.005,100,500,0.99,3,2,7,1,,1090,0.0627884,0.0168274,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1100,0.0802907,0.0199551,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1110,0.0457337,0.0155591,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,1120,0.0613138,0.016704,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1130,0.0570514,0.016784,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1140,0.103465,0.0240185,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,1150,0.0448112,0.0152631,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1160,0.0539417,0.017148,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1170,0.038917,0.0140669,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1180,0.0343092,0.0119058,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1190,0.0603082,0.0167491,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1200,0.0363452,0.0131052,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1210,0.0520129,0.0179246,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,1220,0.068665,0.0208957,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,1230,0.0462533,0.0165535,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,1240,0.0238,0.00958078,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1250,0.0439961,0.01603,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1260,0.0244268,0.0104677,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1270,0.0293252,0.0120889,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1280,0.0657663,0.0189225,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1290,0.0433954,0.0157815,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1300,0.0311013,0.0125014,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1310,0.0776534,0.0204302,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,1320,0.023909,0.0112876,0.99
