cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1290,13.754,0.0180099,0.0301887,0.605435,0.0196863,0.875
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1300,13.3968,0.0178972,0.0341981,0.318366,0.0201148,0.925
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1310,13.5108,0.0181539,0.0363208,0.391108,0.0204385,0.9
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1320,13.6442,0.0179515,0.0323113,0.176945,0.0206956,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1330,13.7939,0.0182661,0.0323113,0.182349,0.0213352,0.925
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1340,13.9006,0.0185177,0.0332547,0.172192,0.0214656,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1350,13.9284,0.0185457,0.0341981,0.0923912,0.0216213,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1360,13.8448,0.0186602,0.0334906,0.295862,0.0217854,0.925
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1370,13.8868,0.0186716,0.0358491,0.0907204,0.0220447,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1380,13.8426,0.0186146,0.0365566,0.191834,0.0220283,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1390,13.9081,0.0186296,0.0367925,0.102204,0.0220073,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1400,13.9272,0.018671,0.0360849,0.131967,0.0216983,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1410,13.8927,0.0187738,0.0363208,0.0778519,0.0220946,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1420,13.9573,0.0188704,0.0358491,0.0731483,0.0220642,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1430,13.8916,0.0187852,0.0360849,0.327804,0.0216111,0.9
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1440,13.8576,0.018442,0.0334906,0.126164,0.0217457,0.925
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1450,13.8762,0.0184191,0.034434,0.0602151,0.022175,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1460,13.9626,0.0187344,0.0367925,0.0725297,0.0220232,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1470,14.1458,0.0188689,0.034434,0.0702234,0.0220343,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1480,14.0052,0.01876,0.0398585,0.0582471,0.022264,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1490,13.9571,0.0187252,0.0372641,0.0600033,0.022222,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1500,14.0191,0.0188495,0.0370283,0.0479584,0.0223194,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1510,9.46032,0.013333,0.028066,5.06321,0.0127837,0.1
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1520,8.49982,0.00960341,0.0372641,2.92792,0.0100373,0.175
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1530,8.32485,0.00826555,0.0334906,2.15616,0.00843395,0.35
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1540,8.69902,0.00913138,0.034434,2.1923,0.00863901,0.375
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1550,8.93404,0.00980516,0.0346698,1.56123,0.0110104,0.575
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1560,9.14985,0.0106807,0.0426887,1.06647,0.0119988,0.8
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1570,9.3225,0.0114118,0.0393868,0.950623,0.01324,0.8
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1580,9.59157,0.0122791,0.0438679,0.672657,0.0141366,0.95
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1590,9.80825,0.013032,0.0511792,0.502588,0.0157779,0.925
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1600,9.99302,0.0137667,0.0483491,0.293105,0.0179237,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1610,10.121,0.0144025,0.0511792,0.231263,0.0188856,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1620,10.3428,0.0149381,0.0485849,0.347374,0.0193749,0.925
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1630,10.5003,0.015115,0.0488208,0.27232,0.0194519,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1640,10.6157,0.0155334,0.0514151,0.13433,0.0203989,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1650,10.7382,0.0158496,0.0485849,0.118679,0.0209215,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1660,10.8978,0.0161904,0.0495283,0.100064,0.0210718,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1670,11.011,0.0164595,0.0476415,0.0861742,0.0213516,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1680,10.8162,0.0164361,0.0485849,0.0776693,0.0214619,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1690,11.0469,0.0167663,0.0507075,0.0985361,0.0211917,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1700,11.2831,0.0166609,0.0476415,0.142587,0.0213598,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1710,11.146,0.0168599,0.0535377,0.0539314,0.0219207,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1720,11.2167,0.0170132,0.0509434,0.141619,0.0217482,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1730,11.4124,0.0171586,0.0481132,0.050466,0.0219598,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1740,11.5055,0.0173917,0.0507075,0.0482852,0.0220422,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1750,11.5181,0.0173348,0.0450472,0.331908,0.0219128,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1760,11.4068,0.017211,0.0481132,0.0575762,0.0219478,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1770,11.4044,0.0171205,0.0481132,0.149639,0.0215844,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1780,11.5311,0.0173811,0.0495283,0.121961,0.0212614,0.975
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1790,11.5515,0.0174565,0.0471698,0.0667386,0.0218046,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1800,11.552,0.0174017,0.046934,0.0438534,0.0221228,1.0
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1810,11.3911,0.0174391,0.0448113,0.138842,0.0220367,0.975
