fixed,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,10,0.005,100,500,0.99,3,2,7,1,100,1390,1.3529,0.0765136,0.5211
True,10,0.005,100,500,0.99,3,2,7,1,100,1400,1.31381,0.0756968,0.5183
True,10,0.005,100,500,0.99,3,2,7,1,100,1410,1.22904,0.0737139,0.5402
True,10,0.005,100,500,0.99,3,2,7,1,100,1420,1.23203,0.0738037,0.5329
True,10,0.005,100,500,0.99,3,2,7,1,100,1430,1.15454,0.0721377,0.5662
True,10,0.005,100,500,0.99,3,2,7,1,100,1440,1.27263,0.0744245,0.526
True,10,0.005,100,500,0.99,3,2,7,1,100,1450,1.41139,0.078342,0.4759
True,10,0.005,100,500,0.99,3,2,7,1,100,1460,1.82999,0.083372,0.4445
True,10,0.005,100,500,0.99,3,2,7,1,100,1470,1.78266,0.0833459,0.3953
True,10,0.005,100,500,0.99,3,2,7,1,100,1480,1.49841,0.0792637,0.4723
True,10,0.005,100,500,0.99,3,2,7,1,100,1490,1.48102,0.0792674,0.4643
True,10,0.005,100,500,0.99,3,2,7,1,100,1500,1.44857,0.0774527,0.4934
True,10,0.005,100,500,0.99,3,2,7,1,100,1510,2.4918,0.0859544,0.4217
True,10,0.005,100,500,0.99,3,2,7,1,100,1520,1.67245,0.0830045,0.4344
True,10,0.005,100,500,0.99,3,2,7,1,100,1530,1.60813,0.0802747,0.4778
True,10,0.005,100,500,0.99,3,2,7,1,100,1540,1.45888,0.0774295,0.5057
True,10,0.005,100,500,0.99,3,2,7,1,100,1550,1.36159,0.0757218,0.5364
True,10,0.005,100,500,0.99,3,2,7,1,100,1560,1.3525,0.0744155,0.5601
True,10,0.005,100,500,0.99,3,2,7,1,100,1570,1.23825,0.0727405,0.5725
True,10,0.005,100,500,0.99,3,2,7,1,100,1580,1.29686,0.0749358,0.5542
True,10,0.005,100,500,0.99,3,2,7,1,100,1590,1.16329,0.0712205,0.5965
True,10,0.005,100,500,0.99,3,2,7,1,100,1600,1.29358,0.0749766,0.5453
True,10,0.005,100,500,0.99,3,2,7,1,100,1610,1.13361,0.0711733,0.5986
True,10,0.005,100,500,0.99,3,2,7,1,100,1620,1.32185,0.0754934,0.5255
True,10,0.005,100,500,0.99,3,2,7,1,100,1630,1.26543,0.0742583,0.5686
True,10,0.005,100,500,0.99,3,2,7,1,100,1640,1.20266,0.0738634,0.5768
True,10,0.005,100,500,0.99,3,2,7,1,100,1650,1.25665,0.0732929,0.576
True,10,0.005,100,500,0.99,3,2,7,1,100,1660,1.10628,0.0713644,0.5866
True,10,0.005,100,500,0.99,3,2,7,1,100,1670,1.13864,0.0714105,0.5816
True,10,0.005,100,500,0.99,3,2,7,1,100,1680,1.01828,0.0689531,0.6164
True,10,0.005,100,500,0.99,3,2,7,1,100,1690,1.14072,0.0715952,0.5966
True,10,0.005,100,500,0.99,3,2,7,1,100,1700,1.29458,0.0745375,0.5591
True,10,0.005,100,500,0.99,3,2,7,1,100,1710,0.979875,0.0680168,0.628
True,10,0.005,100,500,0.99,3,2,7,1,100,1720,0.924826,0.0658217,0.6544
True,10,0.005,100,500,0.99,3,2,7,1,100,1730,0.909036,0.0656941,0.662
True,10,0.005,100,500,0.99,3,2,7,1,100,1740,1.04093,0.0708473,0.6077
True,10,0.005,100,500,0.99,3,2,7,1,100,1750,0.965482,0.0680594,0.6319
True,10,0.005,100,500,0.99,3,2,7,1,100,1760,0.879232,0.0645017,0.6655
True,10,0.005,100,500,0.99,3,2,7,1,100,1770,0.840381,0.0630961,0.6805
True,10,0.005,100,500,0.99,3,2,7,1,100,1780,0.802688,0.0616575,0.6965
True,10,0.005,100,500,0.99,3,2,7,1,100,1790,0.773615,0.0602252,0.7085
True,10,0.005,100,500,0.99,3,2,7,1,100,1800,0.829459,0.0619732,0.6934
True,10,0.005,100,500,0.99,3,2,7,1,100,1810,0.905812,0.0639908,0.6787
True,10,0.005,100,500,0.99,3,2,7,1,100,1820,0.955754,0.0634993,0.671
True,10,0.005,100,500,0.99,3,2,7,1,100,1830,3.66167,0.0961613,0.24
True,10,0.005,100,500,0.99,3,2,7,1,100,1840,2.75316,0.0915571,0.309
True,10,0.005,100,500,0.99,3,2,7,1,100,1850,2.00255,0.0855523,0.3777
